index,binary,is_unit,unit_index,rotation,flip,ref_index_name
0,00000000,True,N/A,0,False,N/A
1,00000001,False,8,3,False,00001000
2,00000010,False,8,2,False,00001000
3,00000011,False,12,2,False,00001100
4,00000100,False,8,1,False,00001000
5,00000101,False,N/A,0,True,00001010
6,00000110,False,12,1,False,00001100
7,00000111,False,14,1,False,00001110
8,00001000,True,N/A,0,False,N/A
9,00001001,False,12,3,False,00001100
10,00001010,True,N/A,0,False,N/A
11,00001011,False,14,2,False,00001110
12,00001100,True,N/A,0,False,N/A
13,00001101,False,14,3,False,00001110
14,00001110,True,N/A,0,False,N/A
15,00001111,True,N/A,0,False,N/A
16,00010000,False,128,3,False,10000000
17,00010001,False,136,3,False,10001000
18,00010010,False,129,3,False,10000001
19,00010011,False,140,2,True,10001100
20,00010100,False,130,3,False,10000010
21,00010101,False,138,3,False,10001010
22,00010110,False,134,2,True,10000110
23,00010111,False,142,2,True,10001110
24,00011000,False,129,2,True,10000001
25,00011001,False,140,3,False,10001100
26,00011010,False,133,3,False,10000101
27,00011011,False,141,3,False,10001101
28,00011100,False,134,3,False,10000110
29,00011101,False,142,3,False,10001110
30,00011110,False,135,3,False,10000111
31,00011111,True,N/A,0,False,N/A
32,00100000,False,128,2,False,10000000
33,00100001,False,129,3,True,10000001
34,00100010,False,136,2,False,10001000
35,00100011,False,140,2,False,10001100
36,00100100,False,129,2,False,10000001
37,00100101,False,133,2,False,10000101
38,00100110,False,140,3,True,10001100
39,00100111,False,141,2,False,10001101
40,00101000,False,130,2,False,10000010
41,00101001,False,134,2,False,10000110
42,00101010,False,138,2,False,10001010
43,00101011,False,142,2,False,10001110
44,00101100,False,134,3,True,10000110
45,00101101,False,135,2,False,10000111
46,00101110,False,142,3,True,10001110
47,00101111,False,31,3,False,00011111
48,00110000,False,192,2,False,11000000
49,00110001,False,200,2,True,11001000
50,00110010,False,200,2,False,11001000
51,00110011,False,204,2,False,11001100
52,00110100,False,193,2,False,11000001
53,00110101,False,202,2,True,11001010
54,00110110,False,201,2,False,11001001
55,00110111,False,205,2,False,11001101
56,00111000,False,193,2,True,11000001
57,00111001,False,201,2,True,11001001
58,00111010,False,202,2,False,11001010
59,00111011,False,205,2,True,11001101
60,00111100,False,195,2,False,11000011
61,00111101,False,203,2,True,11001011
62,00111110,False,203,2,False,11001011
63,00111111,False,207,2,False,11001111
64,01000000,False,128,1,False,10000000
65,01000001,False,130,1,False,10000010
66,01000010,False,129,0,True,10000001
67,01000011,False,134,1,False,10000110
68,01000100,False,136,1,False,10001000
69,01000101,False,138,1,False,10001010
70,01000110,False,140,1,False,10001100
71,01000111,False,142,1,False,10001110
72,01001000,False,129,1,False,10000001
73,01001001,False,134,0,True,10000110
74,01001010,False,133,1,False,10000101
75,01001011,False,135,1,False,10000111
76,01001100,False,140,0,True,10001100
77,01001101,False,142,0,True,10001110
78,01001110,False,141,1,False,10001101
79,01001111,False,31,2,False,00011111
80,01010000,False,N/A,0,True,10100000
81,01010001,False,168,3,False,10101000
82,01010010,False,161,3,False,10100001
83,01010011,False,172,2,True,10101100
84,01010100,False,168,1,False,10101000
85,01010101,False,N/A,0,True,10101010
86,01010110,False,172,1,False,10101100
87,01010111,True,N/A,0,False,N/A
88,01011000,False,161,1,False,10100001
89,01011001,False,172,3,False,10101100
90,01011010,False,N/A,0,True,10100101
91,01011011,False,94,2,False,01011110
92,01011100,False,172,0,True,10101100
93,01011101,False,87,2,False,01010111
94,01011110,True,N/A,0,False,N/A
95,01011111,False,N/A,0,True,10101111
96,01100000,False,192,1,False,11000000
